table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,en,Taipei Rapid Transit Corporation,TRTC,,
routes,route_short_name,en,Bannan Line,Blue,,
routes,route_short_name,en,Tamsui-Xinyi Line,Red,,
routes,route_short_name,en,Zhonghe-Xinlu Line,Orange,,
routes,route_short_name,en,Songshan-Xindian Line,Green,,
routes,route_short_name,en,Wenhu Line,Brown,,
routes,route_short_name,en,Circular Line,Yellow,,
routes,route_short_name,en,Beitou-Xinbeitou,BX,,
routes,route_short_name,en,Qizhang-Xiaobitan ,QX,,
routes,route_desc,en,"Taipei Nangang Exhibition Center-Dingpu, Taipei Nangang Exhibition Center-Far Eastern Hospital",Blue,,
routes,route_desc,en,"Tamsui-Xiangshan, Beitou-Daan",Red,,
routes,route_desc,en,"Huilong-Nanshijiao, Luzhou-Nanshijiao",Orange,,
routes,route_desc,en,"Songshan-Xindian, Songshan-Taipower Building",Green,,
routes,route_desc,en,Taipei Zoo-Taipei Nangang Exhibition Center,Brown,,
routes,route_desc,en,New Taipei Industrial Park-Dapinglin,Yellow,,
routes,route_desc,en,Beitou-Xinbeitou,BX,,
routes,route_desc,en,Qizhang-Xiaobitan ,QX,,
stops,platform_code,en,2,BL01_DN,,
stops,platform_code,en,1,BL01_UP,,
stops,platform_code,en,2,BL02_DN,,
stops,platform_code,en,1,BL02_UP,,
stops,platform_code,en,2,BL03_DN,,
stops,platform_code,en,1,BL03_UP,,
stops,platform_code,en,2,BL04_DN,,
stops,platform_code,en,1,BL04_UP,,
stops,platform_code,en,2,BL05_DN,,
stops,platform_code,en,1,BL05_UP,,
stops,platform_code,en,2,BL06_DN,,
stops,platform_code,en,1,BL06_UP,,
stops,platform_code,en,2,BL07_DN,,
stops,platform_code,en,1,BL07_UP,,
stops,platform_code,en,2,BL08_DN,,
stops,platform_code,en,1,BL08_UP,,
stops,platform_code,en,2,BL09_DN,,
stops,platform_code,en,1,BL09_UP,,
stops,platform_code,en,2,BL10_DN,,
stops,platform_code,en,1,BL10_UP,,
stops,platform_code,en,3,BL11_DN,,
stops,platform_code,en,1,BL11_UP,,
stops,platform_code,en,4,BL12_DN,,
stops,platform_code,en,3,BL12_UP,,
stops,platform_code,en,2,BL13_DN,,
stops,platform_code,en,1,BL13_UP,,
stops,platform_code,en,2,BL14_DN,,
stops,platform_code,en,1,BL14_UP,,
stops,platform_code,en,2,BL15_DN,,
stops,platform_code,en,1,BL15_UP,,
stops,platform_code,en,2,BL16_DN,,
stops,platform_code,en,1,BL16_UP,,
stops,platform_code,en,2,BL17_DN,,
stops,platform_code,en,1,BL17_UP,,
stops,platform_code,en,2,BL18_DN,,
stops,platform_code,en,1,BL18_UP,,
stops,platform_code,en,2,BL19_DN,,
stops,platform_code,en,1,BL19_UP,,
stops,platform_code,en,2,BL20_DN,,
stops,platform_code,en,1,BL20_UP,,
stops,platform_code,en,2,BL21_DN,,
stops,platform_code,en,1,BL21_UP,,
stops,platform_code,en,2,BL22_DN,,
stops,platform_code,en,1,BL22_UP,,
stops,platform_code,en,2,BL23_DN,,
stops,platform_code,en,1,BL23_UP,,
stops,platform_code,en,1,BR01_DN,,
stops,platform_code,en,1,BR01_UP,,
stops,platform_code,en,2,BR02_DN,,
stops,platform_code,en,1,BR02_UP,,
stops,platform_code,en,2,BR03_DN,,
stops,platform_code,en,1,BR03_UP,,
stops,platform_code,en,2,BR04_DN,,
stops,platform_code,en,1,BR04_UP,,
stops,platform_code,en,2,BR05_DN,,
stops,platform_code,en,1,BR05_UP,,
stops,platform_code,en,2,BR06_DN,,
stops,platform_code,en,1,BR06_UP,,
stops,platform_code,en,2,BR07_DN,,
stops,platform_code,en,1,BR07_UP,,
stops,platform_code,en,2,BR08_DN,,
stops,platform_code,en,1,BR08_UP,,
stops,platform_code,en,2,BR09_DN,,
stops,platform_code,en,1,BR09_UP,,
stops,platform_code,en,2,BR10_DN,,
stops,platform_code,en,1,BR10_UP,,
stops,platform_code,en,2,BR11_DN,,
stops,platform_code,en,1,BR11_UP,,
stops,platform_code,en,2,BR12_DN,,
stops,platform_code,en,1,BR12_UP,,
stops,platform_code,en,2,BR13_DN,,
stops,platform_code,en,1,BR13_UP,,
stops,platform_code,en,2,BR14_DN,,
stops,platform_code,en,1,BR14_UP,,
stops,platform_code,en,2,BR15_DN,,
stops,platform_code,en,1,BR15_UP,,
stops,platform_code,en,2,BR16_DN,,
stops,platform_code,en,1,BR16_UP,,
stops,platform_code,en,2,BR17_DN,,
stops,platform_code,en,1,BR17_UP,,
stops,platform_code,en,2,BR18_DN,,
stops,platform_code,en,1,BR18_UP,,
stops,platform_code,en,2,BR19_DN,,
stops,platform_code,en,1,BR19_UP,,
stops,platform_code,en,2,BR20_DN,,
stops,platform_code,en,1,BR20_UP,,
stops,platform_code,en,2,BR21_DN,,
stops,platform_code,en,1,BR21_UP,,
stops,platform_code,en,2,BR22_DN,,
stops,platform_code,en,1,BR22_UP,,
stops,platform_code,en,2,BR23_DN,,
stops,platform_code,en,1,BR23_UP,,
stops,platform_code,en,2,BR24_DN,,
stops,platform_code,en,2,BR24_UP,,
stops,platform_code,en,2,G01_DN,,
stops,platform_code,en,1,G01_UP,,
stops,platform_code,en,2,G02_DN,,
stops,platform_code,en,1,G02_UP,,
stops,platform_code,en,2,G03_DN,,
stops,platform_code,en,1,G03_UP,,
stops,platform_code,en,2,G04_DN,,
