route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Green,183,183_6006_UP,松山站,,,,,1,
Green,183,183_6008_UP,松山站,,,,,1,
Green,183,183_6009_DN,新店站,,,,,1,
Green,183,183_6020_UP,松山站,,,,,1,
Green,183,183_6021_DN,新店站,,,,,1,
Green,183,183_6024_UP,松山站,,,,,1,
Green,183,183_6046_UP,松山站,,,,,1,
Green,183,183_6047_DN,新店站,,,,,1,
Green,183,183_6066_UP,松山站,,,,,1,
Green,183,183_6073_DN,新店站,,,,,1,
Green,183,183_6078_UP,松山站,,,,,1,
Green,183,183_6087_DN,新店站,,,,,1,
Green,183,183_6088_UP,松山站,,,,,1,
Green,183,183_6089_DN,新店站,,,,,1,
Green,183,183_6092_UP,松山站,,,,,1,
Green,183,183_6096_UP,松山站,,,,,1,
Green,183,183_6097_DN,新店站,,,,,1,
Green,183,183_6099_DN,新店站,,,,,1,
Green,183,183_6110_UP,松山站,,,,,1,
Green,183,183_6118_UP,松山站,,,,,1,
Green,183,183_6119_DN,新店站,,,,,1,
Green,183,183_6121_DN,新店站,,,,,1,
Green,183,183_6129_DN,新店站,,,,,1,
Green,183,183_6130_UP,松山站,,,,,1,
Green,183,183_6132_UP,松山站,,,,,1,
Green,183,183_6134_UP,松山站,,,,,1,
Green,183,183_6138_UP,松山站,,,,,1,
Green,183,183_6150_UP,松山站,,,,,1,
Green,183,183_6157_DN,新店站,,,,,1,
Green,183,183_6159_DN,新店站,,,,,1,
Green,183,183_6165_DN,新店站,,,,,1,
Green,183,183_6168_UP,松山站,,,,,1,
Green,183,183_6172_UP,松山站,,,,,1,
Green,183,183_6179_DN,新店站,,,,,1,
Green,183,183_6192_UP,松山站,,,,,1,
Green,183,183_6198_UP,松山站,,,,,1,
Green,183,183_6199_DN,新店站,,,,,1,
Green,183,183_6201_DN,新店站,,,,,1,
Green,183,183_6207_DN,新店站,,,,,1,
Green,183,183_6214_UP,松山站,,,,,1,
Green,183,183_6216_UP,松山站,,,,,1,
Green,183,183_6224_UP,松山站,,,,,1,
Green,183,183_6228_UP,松山站,,,,,1,
Green,183,183_6229_DN,新店站,,,,,1,
Green,183,183_6233_DN,新店站,,,,,1,
Green,183,183_6239_DN,新店站,,,,,1,
Green,183,183_6242_UP,松山站,,,,,1,
Green,183,183_6243_DN,新店站,,,,,1,
Green,183,183_6244_UP,松山站,,,,,1,
Green,183,183_6252_UP,松山站,,,,,1,
Green,183,183_6253_DN,新店站,,,,,1,
Green,183,183_6254_UP,松山站,,,,,1,
Green,183,183_6261_DN,新店站,,,,,1,
Green,183,183_6269_DN,新店站,,,,,1,
Green,183,183_6277_DN,新店站,,,,,1,
Green,183,183_6284_UP,松山站,,,,,1,
Green,183,183_6286_UP,松山站,,,,,1,
Green,183,183_6288_UP,松山站,,,,,1,
Green,183,183_6289_DN,新店站,,,,,1,
Green,183,183_6296_UP,松山站,,,,,1,
Green,183,183_6297_DN,新店站,,,,,1,
Green,183,183_6298_UP,松山站,,,,,1,
Green,183,183_6304_UP,松山站,,,,,1,
Green,183,183_6307_DN,新店站,,,,,1,
Green,183,183_6309_DN,新店站,,,,,1,
Green,183,183_6311_DN,新店站,,,,,1,
Green,183,183_6318_UP,松山站,,,,,1,
Green,183,183_6319_DN,新店站,,,,,1,
Green,183,183_6322_UP,松山站,,,,,1,
Green,183,183_6002_UP,松山站,,,,,1,
Green,183,183_6005_DN,新店站,,,,,1,
Green,183,183_6007_DN,新店站,,,,,1,
Green,183,183_6012_UP,松山站,,,,,1,
Green,183,183_6014_UP,松山站,,,,,1,
Green,183,183_6015_DN,新店站,,,,,1,
Green,183,183_6018_UP,松山站,,,,,1,
Green,183,183_6025_DN,新店站,,,,,1,
Green,183,183_6027_DN,新店站,,,,,1,
Green,183,183_6029_DN,新店站,,,,,1,
Green,183,183_6030_UP,松山站,,,,,1,
Green,183,183_6033_DN,新店站,,,,,1,
Green,183,183_6035_DN,新店站,,,,,1,
Green,183,183_6036_UP,松山站,,,,,1,
Green,183,183_6038_UP,松山站,,,,,1,
Green,183,183_6039_DN,新店站,,,,,1,
Green,183,183_6041_DN,新店站,,,,,1,
Green,183,183_6043_DN,新店站,,,,,1,
Green,183,183_6044_UP,松山站,,,,,1,
Green,183,183_6050_UP,松山站,,,,,1,
Green,183,183_6058_UP,松山站,,,,,1,
Green,183,183_6060_UP,松山站,,,,,1,
Green,183,183_6061_DN,新店站,,,,,1,
Green,183,183_6063_DN,新店站,,,,,1,
Green,183,183_6064_UP,松山站,,,,,1,
Green,183,183_6068_UP,松山站,,,,,1,
Green,183,183_6069_DN,新店站,,,,,1,
Green,183,183_6070_UP,松山站,,,,,1,
Green,183,183_6072_UP,松山站,,,,,1,
Green,183,183_6075_DN,新店站,,,,,1,
Green,183,183_6076_UP,松山站,,,,,1,
Green,183,183_6083_DN,新店站,,,,,1,
Green,183,183_6095_DN,新店站,,,,,1,
Green,183,183_6103_DN,台電大樓站,,,,,1,
Green,183,183_6104_UP,松山站,,,,,1,
Green,183,183_6106_UP,松山站,,,,,1,
Green,183,183_6107_DN,新店站,,,,,1,
Green,183,183_6112_UP,松山站,,,,,1,
Green,183,183_6116_UP,松山站,,,,,1,
Green,183,183_6133_DN,新店站,,,,,1,
Green,183,183_6135_DN,台電大樓站,,,,,1,
Green,183,183_6147_DN,新店站,,,,,1,
Green,183,183_6148_UP,松山站,,,,,1,
Green,183,183_6152_UP,松山站,,,,,1,
Green,183,183_6155_DN,台電大樓站,,,,,1,
Green,183,183_6166_UP,松山站,,,,,1,
Green,183,183_6169_DN,新店站,,,,,1,
Green,183,183_6171_DN,新店站,,,,,1,
Green,183,183_6177_DN,新店站,,,,,1,
Green,183,183_6193_DN,台電大樓站,,,,,1,
Green,183,183_6194_UP,松山站,,,,,1,
Green,183,183_6205_DN,新店站,,,,,1,
Green,183,183_6210_UP,松山站,,,,,1,
Green,183,183_6213_DN,新店站,,,,,1,
Green,183,183_6225_DN,台電大樓站,,,,,1,
Green,183,183_6227_DN,新店站,,,,,1,
Green,183,183_6234_UP,松山站,,,,,1,
Green,183,183_6236_UP,松山站,,,,,1,
Green,183,183_6237_DN,台電大樓站,,,,,1,
Green,183,183_6245_DN,新店站,,,,,1,
Green,183,183_6247_DN,新店站,,,,,1,
Green,183,183_6255_DN,台電大樓站,,,,,1,
Green,183,183_6260_UP,松山站,,,,,1,
Green,183,183_6263_DN,新店站,,,,,1,
Green,183,183_6264_UP,松山站,,,,,1,
Green,183,183_6266_UP,松山站,,,,,1,
Green,183,183_6275_DN,台電大樓站,,,,,1,
Green,183,183_6278_UP,松山站,,,,,1,
Green,183,183_6281_DN,新店站,,,,,1,
Green,183,183_6282_UP,松山站,,,,,1,
Green,183,183_6287_DN,新店站,,,,,1,
Green,183,183_6292_UP,松山站,,,,,1,
Green,183,183_6293_DN,新店站,,,,,1,
Green,183,183_6295_DN,新店站,,,,,1,
Green,183,183_6306_UP,松山站,,,,,1,
Green,183,183_6312_UP,松山站,,,,,1,
Green,183,183_6314_UP,松山站,,,,,1,
Green,183,183_6011_DN,新店站,,,,,1,
Green,183,183_6016_UP,松山站,,,,,1,
Green,183,183_6017_DN,新店站,,,,,1,
Green,183,183_6019_DN,台電大樓站,,,,,1,
Green,183,183_6022_UP,松山站,,,,,1,
Green,183,183_6026_UP,松山站,,,,,1,
Green,183,183_6034_UP,松山站,,,,,1,
Green,183,183_6037_DN,新店站,,,,,1,
Green,183,183_6042_UP,松山站,,,,,1,
Green,183,183_6049_DN,新店站,,,,,1,
Green,183,183_6052_UP,松山站,,,,,1,
Green,183,183_6062_UP,松山站,,,,,1,
Green,183,183_6067_DN,新店站,,,,,1,
Green,183,183_6080_UP,松山站,,,,,1,
Green,183,183_6081_DN,新店站,,,,,1,
Green,183,183_6098_UP,松山站,,,,,1,
Green,183,183_6101_DN,新店站,,,,,1,
Green,183,183_6105_DN,新店站,,,,,1,
Green,183,183_6108_UP,松山站,,,,,1,
Green,183,183_6111_DN,新店站,,,,,1,
Green,183,183_6115_DN,台電大樓站,,,,,1,
Green,183,183_6117_DN,新店站,,,,,1,
Green,183,183_6120_UP,松山站,,,,,1,
Green,183,183_6122_UP,松山站,,,,,1,
Green,183,183_6124_UP,松山站,,,,,1,
Green,183,183_6125_DN,新店站,,,,,1,
Green,183,183_6126_UP,松山站,,,,,1,
Green,183,183_6127_DN,新店站,,,,,1,
Green,183,183_6128_UP,松山站,,,,,1,
Green,183,183_6131_DN,新店站,,,,,1,
Green,183,183_6139_DN,新店站,,,,,1,
Green,183,183_6143_DN,新店站,,,,,1,
Green,183,183_6144_UP,松山站,,,,,1,
Green,183,183_6146_UP,松山站,,,,,1,
Green,183,183_6151_DN,新店站,,,,,1,
Green,183,183_6156_UP,松山站,,,,,1,
Green,183,183_6162_UP,松山站,,,,,1,
Green,183,183_6164_UP,松山站,,,,,1,
Green,183,183_6167_DN,新店站,,,,,1,
Green,183,183_6182_UP,松山站,,,,,1,
Green,183,183_6185_DN,新店站,,,,,1,
Green,183,183_6187_DN,新店站,,,,,1,
Green,183,183_6200_UP,松山站,,,,,1,
Green,183,183_6204_UP,松山站,,,,,1,
Green,183,183_6208_UP,松山站,,,,,1,
Green,183,183_6209_DN,台電大樓站,,,,,1,
Green,183,183_6215_DN,新店站,,,,,1,
Green,183,183_6223_DN,新店站,,,,,1,
Green,183,183_6231_DN,新店站,,,,,1,
Green,183,183_6235_DN,新店站,,,,,1,
Green,183,183_6238_UP,松山站,,,,,1,
Green,183,183_6246_UP,松山站,,,,,1,
Green,183,183_6248_UP,松山站,,,,,1,
Green,183,183_6249_DN,新店站,,,,,1,
Green,183,183_6258_UP,松山站,,,,,1,
Green,183,183_6259_DN,新店站,,,,,1,
Green,183,183_6265_DN,新店站,,,,,1,
Green,183,183_6267_DN,新店站,,,,,1,
Green,183,183_6271_DN,台電大樓站,,,,,1,
Green,183,183_6280_UP,松山站,,,,,1,
Green,183,183_6283_DN,新店站,,,,,1,
Green,183,183_6291_DN,台電大樓站,,,,,1,
Green,183,183_6300_UP,松山站,,,,,1,
Green,183,183_6301_DN,新店站,,,,,1,
Green,183,183_6305_DN,新店站,,,,,1,
Green,183,183_6310_UP,松山站,,,,,1,
Green,183,183_6313_DN,新店站,,,,,1,
Green,183,183_6321_DN,新店站,,,,,1,
Green,183,183_6328_UP,松山站,,,,,1,
Green,183,183_6339_DN,台電大樓站,,,,,1,
Green,183,183_6342_UP,松山站,,,,,1,
Green,183,183_6323_DN,新店站,,,,,1,
Green,183,183_6324_UP,松山站,,,,,1,
Green,183,183_6327_DN,新店站,,,,,1,
Green,183,183_6329_DN,新店站,,,,,1,
